offence_category,court_type,start_date,end_date,price
C1,Youth,1/04/2008,30/06/2008,1149.416667
C1,Youth,1/07/2008,30/09/2008,1166.75
C1,Youth,1/10/2008,31/12/2008,1161.333333
C1,Youth,1/01/2009,31/03/2009,1164.583333
C1,Youth,1/04/2009,30/06/2009,1171.083333
C1,Youth,1/07/2009,30/09/2009,1186.25
C1,Youth,1/10/2009,31/12/2009,1184.083333
C1,Youth,1/01/2010,31/03/2010,1188.416667
C1,Youth,1/04/2010,30/06/2010,1190.583333
C1,Youth,1/07/2010,30/09/2010,1203.583333
C1,Youth,1/10/2010,31/12/2010,1231.75
C1,Youth,1/01/2011,31/03/2011,1241.5
C1,Youth,1/04/2011,30/06/2011,1253.416667
C1,Youth,1/07/2011,30/09/2011,1258.833333
C1,Youth,1/10/2011,31/12/2011,1254.5
C1,Youth,1/01/2012,31/03/2012,1261
C1,Youth,1/04/2012,30/06/2012,1265.333333
C1,Youth,1/07/2012,30/09/2012,1268.583333
C1,Youth,1/10/2012,31/12/2012,1266.416667
C1,Youth,1/01/2013,31/03/2013,1271.833333
C1,Youth,1/04/2013,30/06/2013,1274
C1,Youth,1/07/2013,30/09/2013,1285.916667
C1,Youth,1/10/2013,31/12/2013,1287
C1,Youth,1/01/2014,31/03/2014,1291.333333
C1,Youth,1/04/2014,30/06/2014,1294.583333
C1,Youth,1/07/2014,30/09/2014,1298.916667
C1,Youth,1/10/2014,31/12/2014,1296.75
C1,Youth,1/01/2015,31/03/2015,1294.583333
C1,Youth,1/04/2015,30/06/2015,1300
C1,Youth,1/07/2015,30/09/2015,1304.333333
C1,Youth,1/10/2015,31/12/2015,1297.833333
C1,Youth,1/01/2016,31/03/2016,1300
C1,Youth,1/04/2016,30/06/2016,1305.416667
C2,Youth,1/01/2005,31/03/2005,1589.018304
C2,Youth,1/04/2005,30/06/2005,1602.884082
C2,Youth,1/07/2005,30/09/2005,1620.909596
C2,Youth,1/10/2005,31/12/2005,1632.002218
C2,Youth,1/01/2006,31/03/2006,1641.708264
C2,Youth,1/04/2006,30/06/2006,1666.666666
C2,Youth,1/07/2006,30/09/2006,1678.333334
C2,Youth,1/10/2006,31/12/2006,1675
C2,Youth,1/01/2007,31/03/2007,1683.333334
C2,Youth,1/04/2007,30/06/2007,1700
C2,Youth,1/07/2007,30/09/2007,1708.333334
C2,Youth,1/10/2007,31/12/2007,1728.333334
C2,Youth,1/01/2008,31/03/2008,1740
C2,Youth,1/04/2008,30/06/2008,1768.333334
C2,Youth,1/07/2008,30/09/2008,1795
C2,Youth,1/10/2008,31/12/2008,1786.666666
C2,Youth,1/01/2009,31/03/2009,1791.666666
C2,Youth,1/04/2009,30/06/2009,1801.666666
C2,Youth,1/07/2009,30/09/2009,1825
C2,Youth,1/10/2009,31/12/2009,1821.666666
C2,Youth,1/01/2010,31/03/2010,1828.333334
C2,Youth,1/04/2010,30/06/2010,1831.666666
C2,Youth,1/07/2010,30/09/2010,1851.666666
C2,Youth,1/10/2010,31/12/2010,1895
C2,Youth,1/01/2011,31/03/2011,1910
C2,Youth,1/04/2011,30/06/2011,1928.333334
C2,Youth,1/07/2011,30/09/2011,1936.666666
C2,Youth,1/10/2011,31/12/2011,1930
C2,Youth,1/01/2012,31/03/2012,1940
C2,Youth,1/04/2012,30/06/2012,1946.666666
C2,Youth,1/07/2012,30/09/2012,1951.666666
C2,Youth,1/10/2012,31/12/2012,1948.333334
C2,Youth,1/01/2013,31/03/2013,1956.666666
C2,Youth,1/04/2013,30/06/2013,1960
C2,Youth,1/07/2013,30/09/2013,1978.333334
C2,Youth,1/10/2013,31/12/2013,1980
C2,Youth,1/01/2014,31/03/2014,1986.666666
C2,Youth,1/04/2014,30/06/2014,1991.666666
C2,Youth,1/07/2014,30/09/2014,1998.333334
C2,Youth,1/10/2014,31/12/2014,1995
C2,Youth,1/01/2015,31/03/2015,1991.666666
C2,Youth,1/04/2015,30/06/2015,2000
C2,Youth,1/07/2015,30/09/2015,2006.666666
C2,Youth,1/10/2015,31/12/2015,1996.666666
C2,Youth,1/01/2016,31/03/2016,2000
C2,Youth,1/04/2016,30/06/2016,2008.333334
C3,Youth,1/01/2005,31/03/2005,3178.036608
C3,Youth,1/04/2005,30/06/2005,3205.768164
C3,Youth,1/07/2005,30/09/2005,3241.819192
C3,Youth,1/10/2005,31/12/2005,3264.004436
C3,Youth,1/01/2006,31/03/2006,3283.416528
C3,Youth,1/04/2006,30/06/2006,3333.333332
C3,Youth,1/07/2006,30/09/2006,3356.666668
C3,Youth,1/10/2006,31/12/2006,3350
C3,Youth,1/01/2007,31/03/2007,3366.666668
C3,Youth,1/04/2007,30/06/2007,3400
C3,Youth,1/07/2007,30/09/2007,3416.666668
C3,Youth,1/10/2007,31/12/2007,3456.666668
C3,Youth,1/01/2008,31/03/2008,3480
C3,Youth,1/04/2008,30/06/2008,3536.666668
C3,Youth,1/07/2008,30/09/2008,3590
C3,Youth,1/10/2008,31/12/2008,3573.333332
C3,Youth,1/01/2009,31/03/2009,3583.333332
C3,Youth,1/04/2009,30/06/2009,3603.333332
C3,Youth,1/07/2009,30/09/2009,3650
C3,Youth,1/10/2009,31/12/2009,3643.333332
C3,Youth,1/01/2010,31/03/2010,3656.666668
C3,Youth,1/04/2010,30/06/2010,3663.333332
C3,Youth,1/07/2010,30/09/2010,3703.333332
C3,Youth,1/10/2010,31/12/2010,3790
C3,Youth,1/01/2011,31/03/2011,3820
C3,Youth,1/04/2011,30/06/2011,3856.666668
C3,Youth,1/07/2011,30/09/2011,3873.333332
C3,Youth,1/10/2011,31/12/2011,3860
C3,Youth,1/01/2012,31/03/2012,3880
C3,Youth,1/04/2012,30/06/2012,3893.333332
C3,Youth,1/07/2012,30/09/2012,3903.333332
C3,Youth,1/10/2012,31/12/2012,3896.666668
C3,Youth,1/01/2013,31/03/2013,3913.333332
C3,Youth,1/04/2013,30/06/2013,3920
C3,Youth,1/07/2013,30/09/2013,3956.666668
C3,Youth,1/10/2013,31/12/2013,3960
C3,Youth,1/01/2014,31/03/2014,3973.333332
C3,Youth,1/04/2014,30/06/2014,3983.333332
C3,Youth,1/07/2014,30/09/2014,3996.666668
C3,Youth,1/10/2014,31/12/2014,3990
C3,Youth,1/01/2015,31/03/2015,3983.333332
C3,Youth,1/04/2015,30/06/2015,4000
C3,Youth,1/07/2015,30/09/2015,4013.333332
C3,Youth,1/10/2015,31/12/2015,3993.333332
C3,Youth,1/01/2016,31/03/2016,4000
C3,Youth,1/04/2016,30/06/2016,4016.666668
C4,Youth,1/01/2005,31/03/2005,4767.054912
C4,Youth,1/04/2005,30/06/2005,4808.652246
C4,Youth,1/07/2005,30/09/2005,4862.728788
C4,Youth,1/10/2005,31/12/2005,4896.006654
C4,Youth,1/01/2006,31/03/2006,4925.124792
C4,Youth,1/04/2006,30/06/2006,4999.999998
